,Q13C,Q18AA,Q18AB,Q20,Q21,Q22,Q23A,Q23B,Q23C,Q23D,Q24,Q25,Q26,Q27,Q29,Q29A,Education,AgeCat,PoliticalPartyAffiliation,Income,PoliticsGeneral,10
796,-10,10,10,10,0,8,10,10,-10,10,0,10,0,0,10,-10,14,59.5,10,20,0,-10
797,-10,10,10,10,8,10,10,10,0,10,0,10,0,10,10,10,16,59.5,10,120,0,10
798,0,8,10,10,10,10,-10,10,10,10,-10,10,0,10,10,-10,14,49.5,10,62.5,10,-8
799,0,8,8,10,-10,10,10,10,10,10,-10,10,0,10,10,10,13,59.5,-10,120,0,10
800,0,8,8,10,-10,10,-10,10,10,10,-10,10,0,10,10,10,20,29.5,10,35,10,10
801,0,10,10,10,8,10,0,0,0,0,10,10,0,10,10,-10,12,39.5,10,45,10,0
802,0,8,10,-10,-10,-8,10,10,-10,10,-10,-10,-10,0,10,10,13,39.5,-10,62.5,-10,0
803,0,-10,10,-10,-10,0,10,10,0,10,0,10,0,10,-10,0,20,49.5,-10,120,0,10
804,0,10,10,10,0,10,-10,0,0,10,0,10,0,10,10,10,20,70,10,0,10,0
805,0,10,10,10,8,10,10,10,10,10,10,10,0,10,10,10,20,49.5,10,120,10,10
806,0,8,10,10,8,10,10,10,0,10,10,10,0,10,10,10,13,49.5,8,120,10,10
807,0,10,10,10,8,10,-10,10,10,10,-10,10,0,10,10,10,16,59.5,0,62.5,10,10
808,0,8,10,10,8,8,10,10,-10,10,-10,10,0,10,10,10,18,39.5,8,62.5,0,-10
809,10,-8,10,-10,-10,8,10,10,10,10,-10,-10,-10,0,10,-10,16,49.5,-8,120,-10,10
810,0,10,10,10,-10,10,-10,10,10,10,-10,10,0,10,10,10,14,59.5,10,20,10,0
811,0,10,10,10,8,10,10,10,10,10,-10,10,0,10,10,10,13,21,-8,35,-10,8
812,0,8,10,10,-10,8,-10,-10,10,10,10,10,0,10,-10,0,16,59.5,-10,120,10,8
813,10,-10,-10,-10,-10,-10,10,10,10,10,10,-10,-10,0,-10,0,16,49.5,-8,45,-10,-10
814,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,13,29.5,-10,20,0,0
815,-10,8,10,10,8,10,10,10,10,10,-10,10,0,10,10,10,14,29.5,8,82.5,0,10
816,0,8,10,-10,8,8,10,10,10,10,10,-10,-10,0,10,10,14,29.5,-8,62.5,0,10
817,0,10,10,10,8,-8,10,10,10,10,0,10,0,10,10,10,14,29.5,-8,120,-10,10
818,0,-8,-10,-10,-10,-10,10,10,10,10,10,-10,-10,0,10,0,14,39.5,-10,62.5,-10,10
819,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,13,39.5,8,120,10,10
820,0,10,10,-10,8,10,-10,10,10,10,0,10,0,10,10,-10,10,70,10,25,10,-10
821,0,-10,8,-10,-10,8,10,10,-10,10,10,-10,10,0,10,-10,12,70,-10,25,0,5
822,0,10,10,10,-10,10,10,10,0,10,-10,10,0,10,10,10,13,59.5,-10,35,0,-10
823,0,10,10,10,8,10,10,10,0,10,0,10,0,10,10,10,12,21,10,20,10,0
824,-10,8,8,-10,8,10,-10,10,-10,10,10,10,0,-10,10,-10,16,39.5,10,82.5,10,10
825,0,-10,10,-10,-10,8,10,10,10,10,0,10,0,10,10,-10,16,70,-10,62.5,0,10
826,0,0,8,-10,-10,8,10,0,0,0,0,-10,-10,0,10,10,16,59.5,-8,120,-10,10
827,10,10,10,10,8,10,10,10,10,10,10,10,0,10,10,10,12,49.5,10,120,10,10
828,10,10,10,10,8,10,10,10,10,10,-10,10,0,10,10,10,16,59.5,10,45,10,10
829,0,8,10,10,8,10,10,10,10,10,10,10,0,10,10,10,20,49.5,8,120,10,10
